forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
phase decision taken -> procedure change_33aVroK_20130530 070030000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_37mbFVw_20130826 070012000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_40VAGRL_20130717 070033000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_42BfPWU_20140513 070230000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_42MXnnv_20140929 070021000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_45dMcKz_20130503 070055000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_51oKUfU_20130820 070104000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_52MSLxL_20130909 070049000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_54MObsj_20140508 070017000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_57EnMJW_20140411 070035000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_57TStLU_20131010 070020000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_61KSiUX_20140711 070050000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_61QaUux_20140811 070016000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_61ekTiI_20130628 070040000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_62UZWQc_20141014 070107000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_62qOqbl_20150122 080140000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_78JbXVy_20141205 080015000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_85WnbEu_20131029 080038000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_86DUEgW_20140103 080019000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_88SRzRx_20131014 070021000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_92apVtN_20150226 080046000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_97Yrwqk_20131107 080033000000 (frequency = 1, performance = 1.00)
phase decision taken -> register receipt updated plan (frequency = 1, performance = 1.00)
phase draft decision made -> procedure change (frequency = 1, performance = 1.00)
phase draft decision made -> register objection and appeal periods (frequency = 1, performance = 1.00)
phase draft decision made -> send design decision to stakeholders (frequency = 1, performance = 1.00)
phase draft decision ready -> enter date draft decisionenvironmental permit (frequency = 1, performance = 40675.00)
phase draft decision ready -> phase perspective submitted (frequency = 1, performance = 1.00)
phase draft decision ready -> procedure change_41kYPHI_20130521 070028000000 (frequency = 1, performance = 1.00)
phase draft decision ready -> procedure change_89zuAmf_20140923 070017000000 (frequency = 1, performance = 1.00)
phase draft decision ready -> register objection and appeal periods (frequency = 1, performance = 1.00)
phase draft decision ready -> set decision status (frequency = 1, performance = 1.00)
phase objection filed -> new decision or reassessment (frequency = 1, performance = 56.00)
phase objection filed -> request for preliminary injunction received (frequency = 1, performance = 1.00)
phase objection filed -> treat objection subcase (frequency = 1, performance = 1.00)
phase only notification required -> phase procedure aborted (frequency = 1, performance = 1.00)
phase permanently suspended -> enter date decision permanent suspension (frequency = 1, performance = 86400.00)
phase permanently suspended -> phase procedure aborted (frequency = 1, performance = 1.00)
phase permanently suspended -> phase procedure extended (frequency = 1, performance = 1.00)
phase permanently suspended -> request complete_95GBRND_20130611 070009000000 (frequency = 1, performance = 1.00)
phase permanently suspended -> set decision status (frequency = 1, performance = 1.00)
phase perspective submitted -> creating environmental permit decision (frequency = 1, performance = 50.00)
phase perspective submitted -> phase perspective submitted (frequency = 1, performance = 1.00)
phase perspective submitted -> procedure change_85bXqIg_20140213 080036000000 (frequency = 1, performance = 1.00)
phase perspective submitted -> reactive designation received (frequency = 1, performance = 1.00)
phase perspective submitted -> suspension ground applicable (frequency = 1, performance = 7189.00)
phase procedure aborted -> enter senddate letter to stakeholders (frequency = 1, performance = 215225.00)
phase procedure aborted -> procedure change (frequency = 1, performance = 1.00)
phase procedure aborted -> send confirmation receipt_42WkqTx_20141027 080034000000 (frequency = 1, performance = 1.00)
phase procedure extended -> article 34  WABO applies (frequency = 1, performance = 345612.00)
phase procedure extended -> creating environmental permit decision (frequency = 1, performance = 3636003.00)
phase procedure extended -> procedure change_16kfLVp_20140425 070012000000 (frequency = 1, performance = 1.00)
phase procedure extended -> procedure change_25nkjMi_20141024 070024000000 (frequency = 1, performance = 1.00)
phase procedure extended -> procedure change_86DpnHw_20130524 070045000000 (frequency = 1, performance = 1.00)
phase procedure extended -> request complete (frequency = 1, performance = 4845482.00)
phase procedure extended -> set decision phase decision permitting decided (frequency = 1, performance = 3071807.00)
phase procedure prematurely terminated -> message terminate request (frequency = 1, performance = 1454.00)
phase procedure prematurely terminated -> procedure change_53uuKFQ_20130927 070038000000 (frequency = 1, performance = 1.00)
phase procedure prematurely terminated -> stop all running subcases 2b (frequency = 1, performance = 1.00)
phase procedure resumed -> enter enddate suspension art. 33 WABO (frequency = 1, performance = 112703.00)
phase procedure resumed -> enter senddate decision (frequency = 1, performance = 1173840.00)
phase procedure resumed -> procedure change_05cegku_20130805 070021000000 (frequency = 1, performance = 1.00)
phase procedure resumed -> record date of decision environmental permit (frequency = 1, performance = 5469286.00)
phase procedure resumed -> set decision phase decision permitting decided (frequency = 1, performance = 372396.00)
phase procedure term resumed -> phase procedure term suspended (frequency = 1, performance = 1.00)
phase procedure term resumed -> register objection and appeal periods (frequency = 1, performance = 1.00)
phase updated plan received -> procedure change_34QVmVK_20150130 080016000000 (frequency = 1, performance = 1.00)
phase updated plan received -> send confirmation receipt_61SCuhj_20150107 080016000000 (frequency = 1, performance = 1.00)
phase updated plan requested -> phase updated plan received (frequency = 1, performance = 2937523.00)
phase updated plan requested -> register receipt updated plan (frequency = 1, performance = 86410.00)
phased application -> investigate BAG objects (frequency = 1, performance = 84109593.00)
phased application -> reception through OLO (frequency = 1, performance = 1.00)
phased application -> send procedure confirmation (frequency = 1, performance = 5.00)
procedure change -> determine cause for suspension article 34 WABO (frequency = 1, performance = 9.00)
procedure change -> grounds for refusal (frequency = 1, performance = 1.00)
procedure change -> phase asked additional information (frequency = 1, performance = 86376.00)
procedure change -> record date of decision environmental permit (frequency = 1, performance = 1.00)
procedure change -> refusal after suspension (frequency = 1, performance = 1.00)
procedure change -> register submission date request (frequency = 1, performance = 1.00)
procedure change -> regular procedure without MER (frequency = 1, performance = 1.00)
procedure change -> suspension ground applicable (frequency = 1, performance = 1.00)
